"","Discrim","0 to 1","1 to 2","2 to 3","3 to 4"
"1",1.18105339462234,0.14636962511324,3.32035924636581,NA,NA
"2",1.33166164595891,-1.27939933328817,1.61300285660576,4.25468109888178,NA
"3",1.2323280657205,-0.397567090192948,1.26830386982457,4.46000077829126,NA
"4",1.16922004797707,-1.43289880192464,0.715632020872406,4.12188245260737,NA
"5",1.03077330206453,-0.780627121834593,0.725349168640748,3.80986476188072,NA
"6",1.09094917820391,-0.0686633028674026,1.36365883105877,4.22431739791607,NA
"7",1.06573303642296,0.222749979848109,1.56185423070479,3.80936149648726,NA
"8",1.4361530886436,-1.16990677537464,1.05061900547987,3.02176311662488,NA
"9",1.57179599374408,-1.05060391522601,0.894880009037161,3.19135821426573,NA
"10",1.36632157313571,-0.578344331405454,1.99403027911561,3.75401315223172,NA
"11",1.47165124254271,-0.488568543680067,1.57457628914219,3.42000468758965,NA
"12",1.31477165631145,-0.572835993086324,1.49068032722165,3.62926461748344,NA
"13",1.40894615475939,-0.610825994532842,1.10046351280958,2.90351039429401,NA
"14",1.12455638878561,-0.703051006997199,1.16703719931082,3.0150650033789,NA
"15",1.5530260592918,-1.19015081100699,0.852254572839757,3.10583922784074,NA
"16",1.68275500324199,0.0416553665698257,2.63272975497437,5.07492131488448,NA
"17",1.78837443545133,-0.142906779716048,2.32382623557261,4.48151850762466,NA
"18",1.1599737127136,2.83618819771261,NA,NA,NA
"19",0.827283454649757,0.305315493712132,3.5856447340016,NA,NA
"20",0.267582998797274,3.75711267066196,NA,NA,NA
"21",1.47428060071006,3.49475039568037,4.96889417951776,NA,NA
"22",1.14193455001913,-0.0709434951879028,1.95719088638332,3.95802234593886,NA
"23",1.75589057482174,-1.76366722428358,1.19340420561176,4.37414740930648,NA
"24",1.41040928043404,0.990316740891053,3.7977026256043,NA,NA
"25",1.94351253196053,0.85725595393265,4.04490876547003,NA,NA
"26",1.62336191378638,1.15760783652649,4.3110746301425,NA,NA
"27",1.93999251897523,0.492219996141856,3.51495664348974,NA,NA
"28",0.880383128035898,0.414845660888023,1.44011502384217,2.93608444435565,NA
"29",1.47182685514509,0.481151981852211,1.83209123156642,4.08711835172706,NA
"30",0.725362999220972,2.4924032464896,3.42340945872025,NA,NA
"31",0.950000202238092,2.85493380099464,NA,NA,NA
"32",0.609424133605866,2.6533021303278,NA,NA,NA
"33",1.99944140753753,-1.31963065964356,0.69291083523742,1.83251803943585,3.65686049817752
