"","mean","sd","2.5%","97.5%","n_eff","Rhat"
"a_temp[1]",0.0732477069507932,0.0621229980576906,-0.0493452715084143,0.192199698495948,207.726431360658,1.00157820243793
"a_temp[2]",-1.41259719209948,0.0830089997270549,-1.58201223377749,-1.25939059324084,222.928554383453,1.00104609526698
"a_temp[3]",-0.318907808911469,0.0938138555556282,-0.512285035040204,-0.139993063834543,163.959323301536,1.00086029529394
"a_temp[4]",-1.52693313978143,0.0569630881446438,-1.63564910158086,-1.41767855478644,1262.03053009277,0.999087404640697
"a_temp[5]",-0.885042128183463,0.116974953686283,-1.11151080272251,-0.659863968675894,156.626788391406,1.00101095936604
"a_temp[6]",0.19143563919822,0.0603132376518566,0.0703574769624579,0.313495646934999,252.899864886608,1.00127154786324
"a_temp[7]",0.522125119593652,0.106535523561386,0.311608314801405,0.732539921717031,174.258188019519,1.00059229597531
"a_temp[8]",-1.1431605449262,0.0536080545830194,-1.24791453589386,-1.03750748682328,734.179393595238,1.00018106292448
"a_temp[9]",-1.10760923607766,0.14610607497548,-1.39524022273189,-0.833285928428588,153.156438161587,1.00076568188488
"a_temp[10]",-0.642317898109404,0.0485066756223218,-0.742961332160062,-0.550580135639553,537.191500172397,0.999145694846325
"a_temp[11]",-0.41639131133617,0.134966299831826,-0.685768023129179,-0.158169716787433,158.034510868862,1.00113240036679
"a_temp[12]",-0.617070955085983,0.0508961856398385,-0.719463124209753,-0.524051014638345,520.87419265472,1.00029178652092
"a_temp[13]",-0.719081542632771,0.141779734854582,-1.00240982645532,-0.442784574509428,153.361362331202,1.00143061323761
"a_temp[14]",-0.50701965823058,0.050283186229985,-0.609145012719375,-0.406755629111273,423.639183104114,1.00075265965419
"a_temp[15]",-0.796552544725546,0.144552455021572,-1.08073126155738,-0.527931014745478,151.236625081952,1.00128562102987
"a_temp[16]",0.3686071924023,0.067282964512127,0.233852804059619,0.500227520305905,231.078642444691,1.00048662364321
"a_temp[17]",0.719311337421632,0.158081558275417,0.401837912274026,1.02409847024412,151.904648503603,1.00197963246331
"a_temp[18]",2.46460070691764,0.119341315472067,2.24224680781303,2.6940181616769,312.129607197851,1.00101115896153
"a_temp[19]",0.165346057401437,0.063822499827487,0.035114681969124,0.294044190493391,246.569652623776,1.00063158773418
"a_temp[20]",5.7741110891618,0.444258140605415,5.00098500525104,6.73444336822672,1383.94097326558,0.999382020744623
"a_temp[21]",3.01106903539578,0.116839359690075,2.79607827197424,3.25893175513541,721.807078448606,1.0003536067183
"a_temp[22]",0.0780343444477158,0.0700741284502883,-0.0611530793155748,0.213117848597365,211.640383264725,1.00180427729661
"a_temp[23]",-2.21438798054173,0.112597748744127,-2.44160181940279,-2.00606951022566,231.307567696569,1.00079178654443
"a_temp[24]",1.06707155233493,0.107092644888452,0.866604302985732,1.28812595203909,377.807065023692,1.0004589186957
"a_temp[25]",0.62492027309109,0.0428563497898306,0.546006592086319,0.707914035040239,3431.78333532122,0.999104624280644
"a_temp[26]",0.937100841945076,0.0777995373130338,0.790966601023413,1.09772872935574,407.524256201647,1.00021022304394
"a_temp[27]",0.453601813480418,0.0419746306194991,0.372653575046849,0.539034691634235,3200.6565450718,0.999286142897474
"a_temp[28]",0.855432299327664,0.258704740745973,0.352880542587639,1.38283854278768,270.75402184289,1.00060068283118
"a_temp[29]",0.452330265001793,0.0436770320725644,0.369814931053832,0.536841293770459,2890.43604770363,0.999052139251659
"a_temp[30]",2.15181167068867,0.0975099902478452,1.96487036357289,2.3542237158665,736.939431468001,1.00021880694326
"a_temp[31]",2.04043071954108,0.0657390247680227,1.91279988634116,2.16503536764937,3348.73713346115,0.999343368970255
"a_temp[32]",2.76146413493817,0.122218116018608,2.52379847977591,2.99298192633222,889.859623371905,0.999609164805172
"a_temp[33]",-1.87895921567911,0.123087043296477,-2.11858194547254,-1.64705750741233,329.347870585568,1.00008125525702
"delta[1]",2.98379902682082,0.096544963196137,2.80017586382233,3.17542041380897,2864.02853432299,1.0004064677698
"delta[2]",2.89537123965932,0.0736887977717408,2.74984239845423,3.04154356859678,1891.3026621521,0.999216168551069
"delta[3]",2.8290816802959,0.136247548568956,2.57834996472946,3.11347272743644,2491.96106078143,0.999080517290976
"delta[4]",1.78209126663317,0.0617383748630952,1.666723002959,1.90405460592087,2772.2934180732,0.999064649008756
"delta[5]",2.66050316700973,0.11968168790783,2.43201182756107,2.90650222598468,2916.37931501396,0.999343621286988
"delta[6]",2.20696473285044,0.301207194284001,1.67470925025106,2.83341349526009,2729.54686925995,0.999525194040648
"delta[7]",1.97006702356926,0.0556815089671023,1.86529760869083,2.07966640115713,2635.53015420026,0.999471343725622
"delta[8]",2.87044608146078,0.108543776146213,2.65850285225541,3.08391417995443,3051.29587085845,0.999138532610885
