"","Discrim","0 to 1","1 to 2","2 to 3","3 to 4"
"1",1.16562216632084,0.143183220598395,3.32338374911972,NA,NA
"2",1.31715306617979,-1.28522667418246,1.60888712023631,4.28318893707084,NA
"3",1.22283099268314,-0.403383643347053,1.26646300368613,4.50630054064676,NA
"4",1.18904653501753,-1.44765519023517,0.722115518592257,4.15709207847488,NA
"5",1.03033564483112,-0.789931472966004,0.721870912651516,3.81692716824741,NA
"6",1.10124208800715,-0.0671451697612278,1.38156904002401,4.26928073547877,NA
"7",1.09002995646046,0.223489718825767,1.57392184768133,3.86672569497315,NA
"8",1.43280933667271,-1.18114454893472,1.05038865273631,3.02891075897996,NA
"9",1.58902848095855,-1.07085493268086,0.891157233945703,3.21239987029569,NA
"10",1.3597263626872,-0.582101763334573,1.99910593664511,3.77111737295075,NA
"11",1.48347040810996,-0.498215846633857,1.58033242030041,3.43738287148718,NA
"12",1.32517242786265,-0.588052204716628,1.49276404540822,3.63805442656194,NA
"13",1.41310972456933,-0.62104250226813,1.10523578888363,2.91575036506486,NA
"14",1.14445501036396,-0.712655447546447,1.1779392516954,3.039865012271,NA
"15",1.52166211468589,-1.19804005350802,0.843213309671913,3.09176227768497,NA
"16",1.71585802237914,0.0420650619312067,2.67741915220597,5.13002823564045,NA
"17",1.80779554336093,-0.156450652681412,2.3466565150488,4.53217380585697,NA
"18",1.19172188694171,2.86171829362334,NA,NA,NA
"19",0.840187030500761,0.305616202462574,3.60853242613414,NA,NA
"20",0.277754435690799,3.76289850505948,NA,NA,NA
"21",1.46976051351665,3.48804851175293,4.96143907116229,NA,NA
"22",1.14168341489455,-0.0783910249706843,1.9626257293645,3.9864755463278,NA
"23",1.79068369329819,-1.80454662567846,1.20329911412785,4.42632878438513,NA
"24",1.37896643560634,0.953858030843415,3.73617002111193,NA,NA
"25",1.94727234952674,0.815364564423879,4.01762984933378,NA,NA
"26",1.54404869789477,1.10299171146913,4.20910599464351,NA,NA
"27",1.88899806573677,0.448809187289439,3.44450562590941,NA,NA
"28",0.900797512501818,0.393821936102891,1.42403669146018,2.93305850926916,NA
"29",1.53349281890842,0.454447685710587,1.83144127553325,4.10958241337622,NA
"30",0.721515906744563,2.47132929812477,3.40621729758443,NA,NA
"31",0.990331866067741,2.85160097301378,NA,NA,NA
"32",0.669763470769836,2.66303909744745,NA,NA,NA
"33",2.1111037418812,-1.41339873580292,0.675098611343607,1.85640841298696,3.72139254901874
