"","Discrim","0 to 1","1 to 2","2 to 3","3 to 4"
"1",0.674722738222664,0.0684143340220756,3.00951487877168,NA,NA
"2",1.00946352399331,-1.39067298780877,1.45315357216206,4.24364851935834,NA
"3",1.262699176624,-0.309563558374491,1.39151905933005,3.97549728174567,6.17355920409392
"4",0.108516454274873,-1.51889922993584,0.429480960416361,3.28317752473098,NA
"5",2.04344209330542,-0.935232124618632,1.31555097596919,5.01970883109137,NA
"6",0.547971033788494,0.176275442316491,1.67303239687313,4.43169551145107,NA
"7",1.59539136620586,0.539731623473997,2.27475373295154,5.17124200909454,NA
"8",0.177212665997173,-1.13058635409206,0.598620688973961,2.25732366267132,NA
"9",2.51260889314939,-1.15874691249791,1.44615008402975,3.97593095192175,NA
"10",0.215513645964064,-0.640409871680795,1.18079550197217,3.30102608575821,NA
"11",2.36238365905258,-0.408850170175947,2.08097281836762,4.36770738653447,NA
"12",0.244818611500436,-0.613275657530767,0.985491546677,2.73664976090535,NA
"13",2.51636552831249,-0.748866088099019,1.79187315602427,3.97353944102202,7.59042188439772
"14",0.247851077765028,-0.505764019713757,1.03097259874813,2.70031517075171,NA
"15",2.25584538172959,-0.783827534672916,1.51321206138206,3.94213841785881,6.32656522744638
"16",0.619269449019854,0.339455110176282,2.19378879692768,4.03574418147506,NA
"17",2.44464979134572,0.758096886287844,3.25489495724682,5.65571416701875,NA
"18",1.13799735961513,2.40284634294009,5.77077292015278,NA,NA
"19",0.678468050028586,0.157522217832092,3.6619878479939,NA,NA
"20",1.99533374355525,6.05201823062978,NA,NA,NA
"21",0.658515358247997,2.99751278907799,4.93058905720743,NA,NA
"22",0.802403067165546,0.0715136381454517,2.45686517777888,4.58254706713413,NA
"23",1.23129236154081,-2.13116284317248,0.869904679305932,4.14228475520534,NA
"24",0.00560125715979216,0.573007442831386,2.67879311909473,NA,NA
"25",1.05497905794298,0.833726822571064,3.26863091172429,NA,NA
"26",0.0142804428521425,0.650956071886934,3.45978607093715,NA,NA
"27",0.868025549445082,0.572363706276654,3.45258987655198,NA,NA
"28",0.0025532085485315,-0.0227834174944658,0.851783488672474,2.55155806255487,NA
"29",1.32522900362143,0.722512040479887,1.78165863513579,3.99633970811047,NA
"30",0.0188629339916721,1.79051497750985,3.25428211389197,5.50748141139832,NA
"31",0.879666480211745,2.32490731584653,3.92560982111207,NA,NA
"32",0.387136688959659,2.38689109611686,4.25386131638779,NA,NA
"33",0.0373211450331803,-1.49522920958492,-0.216379801128499,0.642582250263527,1.92027817398555
